Program for reverse faulting, modified from general4.f and layer5rev_distrib.f (https://github.com/aochihi/DepthStress)
Reference: Aochi (2018), Aochi & Tsuda (2023)
UPDATE 2024/03/12 by Mike (H. SU)
++++++++++++++++++++++++++++++++++++++++++++
INPUT parameters
static friction coef.  [mu_s]:   0.60
dynamic friction coef.  [mu_d]:   0.33
optimal fault orientation [phi]:  29.52
dip angle [dip]:  50.00
cohesion [cohesion]:   5.00
fault relative prestress [R_assume]:   1.00
++++++++++++++++++++++++++++++++++++++++++++
Depth[km] S1[MPa]   S3[MPa]   t0[MPa]   tp[MPa]   tr[MPa]   n0[MPa]   S         G              strain_c       strain         
1.940     100.098   47.153    26.070    51.934    25.813    78.223    100.765   1.294e+10      2.046e-09      4.545e-09      
1.950     100.340   47.395    26.070    52.079    25.893    78.464    147.047   1.294e+10      2.046e-09      4.565e-09      
1.960     100.582   47.637    26.070    52.224    25.973    78.706    269.422   1.294e+10      2.046e-09      4.584e-09      
1.970     100.823   47.879    26.070    52.369    26.053    78.948    1522.476  1.294e+10      2.046e-09      4.604e-09      
1.980     101.065   48.121    26.070    52.514    26.133    79.190    -422.926  1.294e+10      2.046e-09      4.624e-09      
1.990     101.307   48.363    26.070    52.659    26.212    79.432    -186.818  1.294e+10      2.046e-09      4.644e-09      
2.000     101.549   48.604    26.070    52.804    26.292    79.674    -120.356  1.294e+10      2.046e-09      4.664e-09      
2.010     101.791   48.846    26.070    52.949    26.372    79.915    -89.026   1.294e+10      2.046e-09      4.683e-09      
2.020     102.033   49.088    26.070    53.094    26.452    80.157    -70.795   1.294e+10      2.046e-09      4.703e-09      
2.030     103.452   49.330    26.650    53.654    26.760    81.090    -246.367  1.323e+10      2.046e-09      4.620e-09      
2.040     103.695   49.572    26.650    53.800    26.840    81.333    -143.215  1.323e+10      2.046e-09      4.640e-09      
2.050     103.937   49.814    26.650    53.945    26.920    81.575    -101.267  1.323e+10      2.046e-09      4.659e-09      
2.060     104.179   50.057    26.650    54.090    27.000    81.817    -78.514   1.323e+10      2.046e-09      4.678e-09      
2.070     104.422   50.299    26.650    54.236    27.080    82.059    -64.234   1.323e+10      2.046e-09      4.698e-09      
2.080     104.664   50.541    26.650    54.381    27.160    82.302    -54.437   1.323e+10      2.046e-09      4.717e-09      
2.090     104.906   50.784    26.650    54.526    27.240    82.544    -47.298   1.323e+10      2.046e-09      4.737e-09      
2.100     105.148   51.026    26.650    54.672    27.319    82.786    -41.865   1.323e+10      2.046e-09      4.756e-09      
2.110     105.391   51.268    26.650    54.817    27.399    83.029    -37.591   1.323e+10      2.046e-09      4.776e-09      
